date,tradition,title,epistle,gospel,matins,vespers,other
2030-01-27,greek,35th Sunday after Pentecost,1 Timothy 4.9-15 || Hebrews 7.26-8.2 ~ St John,Luke 19.1-10 || John 10.9-16 ~ St John,2nd Matins Gospel :: Mark 16.1-8,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Composite 5 - Wisdom of Solomon 4, 6, 7, 2",
2030-01-27,slavic,35th Sunday after Pentecost,Colossians 3.12-16,Luke 18.35-43,2nd Matins Gospel :: Mark 16.1-8,,
2030-01-28,greek,Monday of the 36th week after Pentecost,"Hebrews 11.17-23, 27-31 || Galatians 5.22-6.2 ~ St. Ephraim",Mark 9.42-10.1 || Luke 6.17-23 ~ St. Ephraim,,,
2030-01-28,slavic,Monday of the 36th week after Pentecost,"Hebrews 11.17-23, 27-31",Mark 9.42-10.1,,,
2030-01-29,greek,Tuesday of the 36th week after Pentecost,"Hebrews 12.25-26, 13.22-25 || Hebrews 10.32-38 ~ Ignatius' Relics",Mark 10.2-12 || Mark 9.33-41 ~ Ignatius' Relics,,,
2030-01-29,slavic,Tuesday of the 36th week after Pentecost,"Hebrews 12.25-26, 13.22-25",Mark 10.2-12,,,
2030-01-30,greek,Wednesday of the 36th week after Pentecost,James 1.1-18 || Hebrews 13.7-16 ~ Hierarchs,Mark 10.11-16 || Matthew 5.14-19 ~ Hierarchs,John 10.9-16,"Deuteronomy 1.8-11, 15-17 || Deuteronomy 10.14-21 || Wisdom of Solomon 3.1-9",
2030-01-30,slavic,Wednesday of the 36th week after Pentecost,James 1.1-18 || Hebrews 13.17-21 ~ St Anthony,Mark 10.11-16 || Luke 6.17-23 ~ St Anthony,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2030-01-31,greek,Thursday of the 36th week after Pentecost,James 1.19-27 || 1 Corinthians 12.27-13.8 ~ Cyrus & John,"Mark 10.17-27 || Matthew 10.1, 5-8 ~ Cyrus & John",,,
2030-01-31,slavic,Thursday of the 36th week after Pentecost,James 1.19-27,Mark 10.17-27,,,
2030-02-01,greek,Friday of the 36th week after Pentecost,James 2.1-13 || Romans 8.28-39 ~ St. Trypho,Mark 10.23-32 || Luke 10.19-21 ~ St. Trypho,,,
2030-02-01,slavic,Friday of the 36th week after Pentecost,James 2.1-13,Mark 10.23-32,,,
2030-02-02,greek,Saturday of the 36th week after Pentecost,Hebrews 7.7-17 ~ Meeting || Colossians 1.3-6,Luke 2.22-40 ~ Meeting || Luke 16.10-15,Luke 2.25-32,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12 || Isaiah 6.1-12 || Composite 7 - Isaiah 19.1, 3, 4-5, 12, 16, 19-21",
2030-02-02,slavic,Saturday of the 36th week after Pentecost,Colossians 1.3-6 || Hebrews 13.17-21 ~ St Euthymius,Luke 16.10-15 || Luke 6.17-23 ~ St Euthymius,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2030-02-03,greek,36th Sunday after Pentecost,2 Corinthians 6.1-10 || Hebrews 9.11-14 ~ Afterfeast of Presentation,Matthew 25.14-30 || Luke 2.25-38 ~ Afterfeast of Presentation,3rd Matins Gospel :: Mark 16.9-20,,
2030-02-03,slavic,36th Sunday after Pentecost,1 Timothy 1.15-17,Matthew 15.21-28,3rd Matins Gospel :: Mark 16.9-20,,
2030-02-04,greek,Monday of the 37th week after Pentecost,James 2.14-26,Mark 10.46-52,,,
2030-02-04,slavic,Monday of the 37th week after Pentecost,James 2.14-26,Mark 10.46-52,,,
2030-02-05,greek,Tuesday of the 37th week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2030-02-05,slavic,Tuesday of the 37th week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2030-02-06,greek,Wednesday of the 37th week after Pentecost,James 3.11-4.6 || Hebrews 7.26-8.2 ~ St. Photius,Mark 11.22-26 || John 10.9-16 ~ St. Photius,,,
2030-02-06,slavic,Wednesday of the 37th week after Pentecost,James 3.11-4.6,Mark 11.22-26,,,
2030-02-07,greek,Thursday of the 37th week after Pentecost,James 4.7-5.9,Mark 11.27-33,,,
2030-02-07,slavic,Thursday of the 37th week after Pentecost,James 4.7-5.9 || 1 Corinthians 12.7-11 ~ St Gregory,Mark 11.27-33 || John 10.9-16 ~ St Gregory,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2030-02-08,greek,Friday of the 37th week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10 || Ephesians 2.4-10 ~ St. Theodore",Mark 12.1-12 || Matthew 10.16-22 ~ St. Theodore,,,
