saint_id,kind,tone,text,translation,source_url
OS-1650,Troparion,3,"Your holy martyr Oswald, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/05
OS-1650,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Oswald; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/05
OS-1651,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father John, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/05
OS-1652,Troparion,3,"Your holy martyr Christos, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/05
OS-1652,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Christos; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/05
OS-1654,Troparion,4,"Preparing yourself through prayer and fasting on the mountain, / you destroyed the hosts of spiritual enemies with the weapon of the Cross. / And then courageously preparing yourself for martyrdom, / you were crowned by God for both your life and death, / O ever-memorable venerable martyr Dometius.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1654,Kontakion,6,"Despising corruption and degrading philosophies, / O venerable martyr Dometius, / you became a great guide of monks. / You did not fear the wrath of the king, / who did not wish to honor Christ the true God. / Therefore in death You did raise the hymn: / God is with me, and no one will be against me.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-2242,Troparion,4,"In truth you were revealed to your flock as a rule of faith, / an image of humility and a teacher of abstinence; / your humility exalted you; / your poverty enriched you. / Hierarch Father Metrophanes, / entreat Christ our God / that our souls may be saved.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1655,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Pimen, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1133,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Pimen, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
