feast_id,image_path,license,credit,source,kind,tag,title,era,by
FF-0023,icons/permission/legacy-icons/feasts/FF-0011-holy-spirit-dove-xviic-icon-x161.jpg,Permission:legacy-icons,,https://legacyicons.com/holy-spirit-dove-xviic-icon-x161/,shop,Available to order,Holy Spirit Dove,17th c.,Legacy Icons
FF-0023,icons/permission/legacy-icons/feasts/FF-0011-pentecost-bamberg-icon-f280.jpg,Permission:legacy-icons,,https://legacyicons.com/pentecost-bamberg-icon-f280/,shop,Available to order,Pentecost (Bamberg),,Legacy Icons
FF-0027,icons/permission/legacy-icons/feasts/FF-0027-prodigal-son-whirledge-icon-f419.jpg,Permission:legacy-icons,,https://legacyicons.com/prodigal-son-whirledge-icon-f419/,shop,Available to order,Prodigal Son (Whirledge),,Legacy Icons
FF-0027,icons/permission/legacy-icons/feasts/FF-0027-prodigal-son-xvic-icon-f174.jpg,Permission:legacy-icons,,https://legacyicons.com/prodigal-son-xvic-icon-f174/,shop,Available to order,Prodigal Son,16th c.,Legacy Icons
FF-0048,icons/permission/theophany-works/feasts/FF-0048-bearing-cross.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-christ-bearing-the-cross-crete-15th-c-00ljc012/,shop,Available to order,Christ Bearing the Cross (Crete),15th c.,Theophany Works
FF-0048,icons/permission/theophany-works/feasts/FF-0048-deposition.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-deposition-from-the-cross-apokathelosis-15th-c-00fhf004/,shop,Available to order,The Deposition from the Cross (Apokathelosis),15th c.,Theophany Works
FF-0065,icons/permission/legacy-icons/feasts/FF-0065-circumcision-of-christ-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/circumcision-of-christ-xviiic-icon-f354/,shop,Available to order,Circumcision of Christ,18th c.,Legacy Icons
FF-0029,icons/permission/legacy-icons/feasts/FF-0029-the-last-judgment-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/the-last-judgment-bamberg-icon-f288/,shop,Available to order,The Last Judgment (Bamberg),,Legacy Icons
FF-0002,icons/permission/legacy-icons/feasts/FF-0002-annunciation-to-saint-anna-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-to-saint-anna-athos-icon-f230/,shop,Available to order,Annunciation to Saint Anna (Athos),,Legacy Icons
FF-0002,icons/permission/legacy-icons/feasts/FF-0002-annunciation-to-saint-joachim-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-to-saint-joachim-athos-icon-f229/,shop,Available to order,Annunciation to Saint Joachim (Athos),,Legacy Icons
FF-0071,icons/permission/legacy-icons/feasts/FF-0071-synaxis-of-the-archangels-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/synaxis-of-the-archangels-xviiic-icon-f177/,shop,Available to order,Synaxis of the Archangels,18th c.,Legacy Icons
FF-0071,icons/permission/legacy-icons/feasts/FF-0071-synaxis-of-the-archangels-icon-f178.jpg,Permission:legacy-icons,,https://legacyicons.com/synaxis-of-the-archangels-xixc-icon-f178/,shop,Available to order,Synaxis of the Archangels,19th c.,Legacy Icons
FF-0073,icons/permission/legacy-icons/feasts/FF-0073-miracle-of-archangel-michael-at-chonae-i.jpg,Permission:legacy-icons,,https://legacyicons.com/miracle-of-archangel-michael-at-chonae-sinai-icon-f154/,shop,Available to order,Miracle of Archangel Michael at Chonae (Sinai),,Legacy Icons
FF-0029,icons/permission/legacy-icons/feasts/FF-0029-the-fearful-judgment-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/the-fearful-judgment-decani-icon-f336/,shop,Available to order,The Fearful Judgment (Decani),,Legacy Icons
FF-0048,icons/permission/legacy-icons/feasts/FF-0048-holy-friday-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/holy-friday-icon-f142/,shop,Available to order,Holy Friday,,Legacy Icons
FF-0006,icons/permission/legacy-icons/feasts/FF-0006-theophany-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/theophany-bamberg-icon-f283/,shop,Available to order,Theophany (Bamberg),,Legacy Icons
FF-0063,icons/permission/legacy-icons/feasts/FF-0063-all-saints-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/all-saints-xviiic-icon-f374/,shop,Available to order,All Saints,18th c.,Legacy Icons
FF-0063,icons/permission/legacy-icons/feasts/FF-0063-all-saints-icon-f361.jpg,Permission:legacy-icons,,https://legacyicons.com/all-saints-xixc-icon-f361/,shop,Available to order,All Saints,19th c.,Legacy Icons
FF-0003,icons/permission/legacy-icons/feasts/FF-0003-cross-of-christ-with-saints-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/cross-of-christ-with-saints-icon-f206/,shop,Available to order,Cross of Christ With Saints,,Legacy Icons
FF-0011,icons/permission/legacy-icons/feasts/FF-0011-holy-trinity-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/holy-trinity-rublev-icon-f144/,shop,Available to order,Holy Trinity (Rublev),,Legacy Icons
FF-0011,icons/permission/legacy-icons/feasts/FF-0011-holy-trinity-icon-f260.jpg,Permission:legacy-icons,,https://legacyicons.com/holy-trinity-koufos-icon-f260/,shop,Available to order,Holy Trinity,,Koufos
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-icon-of-the-nativity-with-angels.jpg,Permission:legacy-icons,,https://legacyicons.com/icon-of-the-nativity-with-angels-f415/,shop,Available to order,Icon of the Nativity with Angels,,Legacy Icons
FF-0052,icons/permission/legacy-icons/feasts/FF-0052-doubting-thomas-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/doubting-thomas-antipascha-icon-f132/,shop,Available to order,Doubting Thomas (Antipascha),,Legacy Icons
FF-0003,icons/permission/legacy-icons/feasts/FF-0003-cross-of-christ-the-light-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/cross-of-christ-the-light-icon-f222/,shop,Available to order,Cross of Christ the Light,,Legacy Icons
FF-0029,icons/permission/legacy-icons/feasts/FF-0029-second-coming-of-christ-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/second-coming-of-christ-icon-f271/,shop,Available to order,Second Coming of Christ,,Legacy Icons
FF-0048,icons/permission/legacy-icons/feasts/FF-0048-christ-carrying-the-cross-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/christ-carrying-the-cross-icon-f112/,shop,Available to order,Christ Carrying the Cross,,Legacy Icons
