saint_id,image_path,license,credit,source,kind,tag,title,era,by
OS-0004,icons/permission/theophany-works/OS-0004-stpe03.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-saint-peter-delivered-by-an-angel-00stpe03/,shop,Available to order,Saint Peter Delivered by an Angel,,Theophany Works
OS-0004,icons/permission/theophany-works/OS-0004-stpp01.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-saints-peter-and-paul-the-apostles-00stpp01/,shop,Available to order,Saints Peter and Paul the Apostles,,Theophany Works
OS-0005,icons/OS-0005.jpg,CC0,,https://commons.wikimedia.org/wiki/File:John_the_Theologian.jpg,museum,Public domain,Apostle & Evangelist John the Theologian,,
OS-0005,icons/permission/theophany-works/OS-0005-stjt02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-the-theologian-and-prochorus-crete-1-15th-c-00stjt02/,shop,Available to order,St. John the Theologian and Prochorus,15th c.,Theophany Works
OS-0005,icons/permission/theophany-works/OS-0005-stjt03.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-the-theologian-and-prochorus-crete-2-15th-c-00stjt03/,shop,Available to order,St. John the Theologian and Prochorus,15th c.,Theophany Works
OS-0006,icons/OS-0006.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Saint_Luke_the_Evangelist_-_icon.jpeg,museum,Public domain,Apostle & Evangelist Luke,,
OS-0006,icons/permission/theophany-works/OS-0006-stle02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-luke-the-evangelist-17th-c-00stle02/,shop,Available to order,St. Luke the Evangelist,17th c.,Theophany Works
OS-0007,icons/OS-0007.jpg,PD-art,,"https://commons.wikimedia.org/wiki/File:Mary_Magdalene_(end_19-early_20_c.,_Sergiev_Posad).jpg",museum,Public domain,St. Mary Magdalene,,
OS-0009,icons/OS-0009.jpg,CC-BY-SA-4.0,Smiroje,https://commons.wikimedia.org/wiki/File:Saint_Stephen_Protomartyr.jpg,museum,Creative Commons,First-Martyr & Archdeacon Stephen,,Smiroje
OS-0011,icons/OS-0011.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:%D0%96%D0%B8%D1%82%D0%B8%D1%8F_%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D1%85_(1903-1911)_-_%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0_01091_%D0%98%D0%BE%D0%B0%D0%BA%D0%B8%D0%BC_%D0%B8_%D0%90%D0%BD%D0%BD%D0%B0.png,museum,Public domain,Righteous Joachim,,
OS-0011,icons/permission/theophany-works/OS-0011-stjoan01.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-joachim-and-anna-00stjoan01/,shop,Available to order,Sts. Joachim and Anna,,Theophany Works
OS-0012,icons/OS-0012.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Novgorod_George.jpg,museum,Public domain,Great Martyr George the Trophy-bearer,,
OS-0012,icons/permission/theophany-works/OS-0012-stge02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-george-the-great-martyr-00stge02/,shop,Available to order,St. George the Great Martyr,,Theophany Works
OS-0012,icons/permission/theophany-works/OS-0012-stge03.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-george-the-trophy-bearer-slaying-dragon-00stge03/,shop,Available to order,St. George the Trophy Bearer (Slaying Dragon),,Theophany Works
OS-0012,icons/permission/theophany-works/OS-0012-stge04.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-george-the-trophy-bearer-slaying-dragon-21st-c-00stge04/,shop,Available to order,St. George the Trophy Bearer (Slaying Dragon),21st c.,Theophany Works
OS-0013,icons/OS-0013.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Saint_Demetrius_Icon_from_Saint_George_Church_in_Melissourgos.jpg,museum,Public domain,Great Martyr Demetrius the Myrrh-streamer,,
OS-0013,icons/permission/theophany-works/OS-0013-stde03.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-demetrios-the-myrrh-streamer-00stde03/,shop,Available to order,St. Demetrios the Myrrh Streamer,,Theophany Works
OS-0014,icons/OS-0014.jpg,CC-BY-SA-3.0,Anonymous Byzantine painter,"https://commons.wikimedia.org/wiki/File:Panteleimon_by_Byzantine_anonymous_(15th_c.,_Pushkin_museum).jpg",museum,Creative Commons,Great Martyr & Healer Panteleimon,,Anonymous Byzantine painter
OS-0014,icons/permission/theophany-works/OS-0014-stpn02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-panteleimon-the-unmercenary-standing-00stpn02/,shop,Available to order,St. Panteleimon the Unmercenary Standing,,Theophany Works
OS-0015,icons/OS-0015.jpg,CC-BY-SA-4.0,"St. Isaac of Syria Skete (Boscobel, Wisconsin)",https://commons.wikimedia.org/wiki/File:Catherine_of_Alexandria.jpg,museum,Creative Commons,Great Martyr Catherine,,"St. Isaac of Syria Skete (Boscobel, Wisconsin)"
OS-0016,icons/OS-0016.jpg,CC0,,https://commons.wikimedia.org/wiki/File:Saint_Barbara._Icon_in_the_Orthodox_church.jpg,museum,Public domain,Great Martyr Barbara,,
