saint_id,image_path,license,credit,source
OS-2751,icons/permission/theophany-works/OS-2751.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-helen-00sthe01/
OS-2754,icons/permission/theophany-works/OS-2754.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-mitrophan-of-beijing-00stld01/
OS-0000,icons/permission/theophany-works/OS-0000.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-christ-pantocrator-bust-21st-c-00ljc021/
OS-2939,icons/permission/theophany-works/OS-2939.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-joachim-and-anna-00stjoan01/
OS-2750,icons/permission/theophany-works/OS-2750.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-anna-00stan01/
OS-2938,icons/permission/theophany-works/OS-2938.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-saints-peter-and-paul-the-apostles-00stpp01/
OS-1541,icons/OS-1541.jpg,PD-old,"Boasson & Eggler, 1913 · Library of Congress",https://commons.wikimedia.org/wiki/File:Family_Nicholas_II_of_Russia_ca._1914.jpg
OS-2958,icons/permission/theophany-works/OS-2958.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-blane-of-bute-00stpo01/
OS-2967,icons/permission/theophany-works/OS-2967.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-withburga-of-dereham-00stwd01/
OS-0053,icons/OS-0053.jpg,PD,,https://commons.wikimedia.org/wiki/File:Tikhon_of_Moscow.jpg
OS-0055,icons/OS-0055.jpg,PD,,https://commons.wikimedia.org/wiki/File:Raphael_of_Brooklyn.jpg
OS-0846,icons/OS-0846.jpg,PD,,https://commons.wikimedia.org/wiki/File:Nikolaj-Velimirovi%C4%87.jpg
OS-1109,icons/OS-1109.jpg,PD,"Narodowe Archiwum Cyfrowe (1-W-325), via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Bazyli_Martysz.png
OS-1125,icons/OS-1125.jpg,PD,,https://commons.wikimedia.org/wiki/File:Alexis_Toth.jpeg
OS-1579,icons/OS-1579.jpg,CC-BY-2.0,"Andrew Malone, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Jakov_Netsvetov.jpg
OS-1894,icons/OS-1894.jpg,CC-BY-2.0,"Paul Drozdowski, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Saint_Peter_the_Aleut.jpg
OS-1895,icons/OS-1895.jpg,CC-BY-SA-4.0,"Wolfymoza, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Juvenaly_of_Alaska.JPG
OS-2120,icons/OS-2120.jpg,PD,,https://commons.wikimedia.org/wiki/File:%D0%98%D0%BE%D0%B0%D0%BD%D0%BD_%D0%9A%D0%BE%D1%87%D1%83%D1%80%D0%BE%D0%B2.jpg
OS-2299,icons/OS-2299.jpg,PD,,https://commons.wikimedia.org/wiki/File:Alexander_Hotovitsky.jpg
OS-2338,icons/OS-2338.jpg,PD,,https://commons.wikimedia.org/wiki/File:Mardarije_Uskokovi%C4%87_1889-1935.jpg
OS-0866,icons/permission/theophany-works/OS-0866.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nikon-of-sicily-21st-c-00stns01/
OS-1397,icons/permission/theophany-works/OS-1397.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nicholas-cabasilas-20th-c-00stnc04/
OS-1365,icons/permission/legacy-icons/OS-1365.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-augustine-of-hippo-icon-s238/
OS-2026,icons/permission/legacy-icons/OS-2026.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-longinus-the-centurion-sinai-icon-s502/
OS-1191,icons/permission/legacy-icons/OS-1191.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-brendan-the-navigator-whirledge-icon-s602/
OS-1269,icons/permission/legacy-icons/OS-1269.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-justin-martyr-the-philosopher-icon-s527/
OS-0822,icons/permission/legacy-icons/OS-0822.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-benedict-of-nursia-xiiic-icon-s388/
OS-0090,icons/permission/legacy-icons/OS-0090.jpg,Permission:legacy-icons,,https://legacyicons.com/righteous-joshua-whirledge-icon-s606/
OS-2312,icons/permission/legacy-icons/OS-2312.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-ambrose-of-milan-davidovskiy-icon-s566/
OS-0378,icons/permission/legacy-icons/OS-0378.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-juliana-of-lazarevo-whirledge-icon-s596/
OS-0075,icons/permission/legacy-icons/OS-0075.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-joseph-the-betrothed-vladmir-icon-s706/
OS-0081,icons/permission/legacy-icons/OS-0081.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-genevieve-of-paris-icon-s472/
OS-0434,icons/permission/legacy-icons/OS-0434.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-tatiana-of-rome-whirledge-icon-s611/
OS-0799,icons/permission/legacy-icons/OS-0799.jpg,Permission:legacy-icons,,https://legacyicons.com/40-martyrs-of-sebaste-icon-s101/
OS-0713,icons/permission/legacy-icons/OS-0713.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-polycarp-of-smyrna-icon-s456/
OS-1320,icons/permission/legacy-icons/OS-1320.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-columba-of-iona-icon-s454/
OS-0486,icons/permission/legacy-icons/OS-0486.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-mark-of-ephesus-xixc-icon-s374/
OS-1812,icons/permission/legacy-icons/OS-1812.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-aidan-of-lindisfarne-icon-s471/
OS-0074,icons/permission/legacy-icons/OS-0074.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-ambrose-of-optina-davidovskiy-icon-s604/
OS-0568,icons/permission/legacy-icons/OS-0568.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-cyrus-and-john-athos-icon-s570/
OS-0838,icons/permission/legacy-icons/OS-0838.jpg,Permission:legacy-icons,,https://legacyicons.com/alexis-the-man-of-god-athos-icon-s279/
OS-1137,icons/permission/legacy-icons/OS-1137.jpg,Permission:legacy-icons,,https://legacyicons.com/apostle-simon-the-zealot-koufos-icon-s618/
OS-0418,icons/permission/legacy-icons/OS-0418.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-philip-of-moscow-whirledge-icon-s680/
OS-0809,icons/permission/legacy-icons/OS-0809.jpg,Permission:legacy-icons,,https://legacyicons.com/sophronius-of-jerusalem-athos-icon-s319/
OS-0975,icons/permission/legacy-icons/OS-0975.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-antipas-of-pergamum-sinai-icon-s155/
